Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C2, C3, C4, C44, C5, C6, C7",C_0402,9,100nF,C1525
"C10, C11, C17, C9",C_0402,4,2.2uF,C12530
C13,C_0402,1,1uF,C52923
C14,C_0805,1,47uF,C16780
"C15, C16",C_0402,2,15pF,C1548
"D1, D2",D_SOD-923,2,ESD9B3.3ST5G,
J2,USB_A_CNCTech_1001-011-01101_Horizontal,1,USB_A,
R1,R_0402,1,200Ω,C25087
R10,R_0402,1,10kΩ,C25744
R11,R_0402,1,27kΩ,C25771
"R2, R3",R_0402,2,27Ω,C25092
"R6, R8",R_0402,2,1kΩ,C11702
"SW1, SW2",SW_SPST_B3U-1000P-B,2,SW_Push,
"TP1, TP2",TestPoint_Pad_1.5x1.5mm,2,TestPoint,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,C2040
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,OSC-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,C20625731
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
