Designator,Mid X,Mid Y,Rotation,Layer
C1,104.97,-72.69,0.0,top
C10,109.66,-82.99,270.0,top
C11,108.29,-82.97,270.0,top
C13,100.08,-74.22,90.0,bottom
C14,98.08,-73.72,90.0,bottom
C15,95.38,-81.02,0.0,top
C16,94.08,-76.72,270.0,top
C17,105.53,-83.2,270.0,bottom
C18,99.08,-84.22,90.0,top
C2,107.32,-82.92,90.0,top
C3,112.49,-75.65,270.0,top
C4,102.17,-83.19,90.0,bottom
C44,110.78,-81.04,90.0,top
C5,97.48,-81.52,90.0,top
C6,111.46,-75.65,270.0,top
C7,98.48,-81.52,90.0,top
C9,112.21,-73.39,0.0,top
D1,113.49,-75.6225,270.0,top
D2,111.88,-81.12,90.0,top
J2,123.29,-78.54,180.0,bottom
R1,111.31,-83.88,270.0,top
R10,107.58,-84.72,180.0,top
R11,100.58,-84.22,90.0,top
R2,110.68,-78.22,180.0,top
R3,110.68,-79.22,180.0,top
R6,95.38,-82.02,0.0,top
R8,100.08,-72.72,0.0,top
SW1,103.88,-83.72,90.0,top
SW2,96.28,-73.72,90.0,top
TP1,96.19,-84.23,0.0,top
TP2,93.68,-84.25,0.0,top
U1,103.58,-77.52,0.0,top
U2,97.58,-80.07,90.0,bottom
U3,96.2,-77.52,90.0,top
U4,108.58,-78.22,180.0,bottom
